DsCompetition,NaAsset,DsAsset,QtMinutesDuration
Automovilismo,24h Series Dubái - Carrera,"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",1571.00
Automovilismo,24h Series Dubái - Carrera (Parte 1),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",198.13
Automovilismo,24h Series Dubái - Carrera (Parte 2),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",219.67
Automovilismo,24h Series Dubái - Carrera (Parte 3),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",468.85
Automovilismo,24h Series Dubái - Carrera (Parte 4),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",168.77
Automovilismo,24h Series Dubái - Carrera (Parte 5),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",184.00
Automovilismo,24h Series Dubái - Carrera (Parte 6),"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",305.78
Automovilismo,24h Series Dubái - Clasificación,"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",141.02
Automovilismo,24h Series Dubái - Clasificación,"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",150.00
Automovilismo,24h Series Dubái - Práctica nocturna,"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",117.70
Automovilismo,24h Series Dubái - Práctica nocturna,"El autódromo de Dubái acoge la carrera de resistencia de automóviles deportivos y turismos, Hankook 24h Series.",118.00
Automovilismo,ADAC SimRacing Expo 2021 - Viernes,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,500.57
Automovilismo,ADAC SimRacing Expo 2021 - Viernes,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,530.00
Automovilismo,ADAC SimRacing Expo 2021 – Domingo,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,154.57
Automovilismo,ADAC SimRacing Expo 2021 – Domingo,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,160.00
Automovilismo,ADAC SimRacing Expo 2021 – Sábado,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,628.20
Automovilismo,ADAC SimRacing Expo 2021 – Sábado,Los mejores SimRacers del mundo compiten entre sí en la pista virtual de Nürburgring.,627.00
Automovilismo,Abu Dhabi Desert Challenge 2021 - Etapa 1,Resumen de la primera etapa de la Abu Dhabi Desert Challenge 2021.,13.30
Automovilismo,Abu Dhabi Desert Challenge 2021 - Etapa 2,Resumen de la segunda etapa de la Abu Dhabi Desert Challenge 2021.,13.55
Automovilismo,Abu Dhabi Desert Challenge 2021 - Etapa 3,Resumen de la tercera etapa de la Abu Dhabi Desert Challenge 2021.,13.33
Automovilismo,Abu Dhabi Desert Challenge 2021 - Etapa 4,Resumen de la cuarta etapa de la Abu Dhabi Desert Challenge 2021.,13.58
Automovilismo,Abu Dhabi Desert Challenge 2022 - Etapa 1,Resumen de la primera etapa de la Abu Dhabi Desert Challenge 2022.,13.23
Automovilismo,Abu Dhabi Desert Challenge 2022 - Etapa 2,Resumen de la segunda etapa de la Abu Dhabi Desert Challenge 2022.,13.07
Automovilismo,Abu Dhabi Desert Challenge 2022 - Etapa 3,Resumen de la tercera etapa de la Abu Dhabi Desert Challenge 2022.,13.53
Automovilismo,Abu Dhabi Desert Challenge 2022 - Etapa 4,Resumen de la cuarta etapa de la Abu Dhabi Desert Challenge 2022.,13.47
Automovilismo,Abu Dhabi Desert Challenge 2022 - Etapa 5,Resumen de la quinta etapa de la Abu Dhabi Desert Challenge 2022.,13.05
Automovilismo,Al-Attiyah supera a Sainz en la Baja Hail 1,"Carlos Sainz ha finalizado la Baja Hail 1 en segunda posición tras ser terceros en la segunda etapa, que tenía una especial de 275 kilómetros en Arabia Saudí. El catari Nasser Al-Attiyah ha sido el ganador absoluto de la prueba tras imponerse en ambas etapas. Baja Hail 1 Toyota Rally 2020: Etapa 2

",12.97
Automovilismo,Andalucía Rally 2020: Etapa 1 ,"Tras los primeros 258 kilómetros, el argentino Kevin Benavídes es el líder en  motos y el saudí Yazeed Al-Rajhi se sitúa en primera posición en coches, seguido por Carlos Sainz.",6.30
Automovilismo,Andalucía Rally 2020: Etapa 3,"Carlos Sainz asciende a la segunda posición en la general tras finalizar la tercera etapa del Andalucía Rally 2020 en tercer lugar. Junto a Sainz, tres pilotos nacionales se cuelan en el top 10 de la clasificación: Isidre Esteve, Féliz Macías y Cristina Gutiérrez. ",6.77
Automovilismo,Andalucía Rally 2020: Etapa 4,"Carlos Sainz se despide de Andalucía con victoria de etapa, asegurando el segundo puesto en la general. La prueba más importante antes del Dakar 2021 concluye con el catarí Al-Attiyah en lo más alto del podio.",8.23
